Kategorie: Alle Kategorien

Woche,bitcoin price: (Weltweit)
2019-01-20,6
2019-01-27,6
2019-02-03,7
2019-02-10,6
2019-02-17,7
2019-02-24,7
2019-03-03,6
2019-03-10,5
2019-03-17,6
2019-03-24,6
2019-03-31,11
2019-04-07,9
2019-04-14,8
2019-04-21,8
2019-04-28,7
2019-05-05,11
2019-05-12,20
2019-05-19,14
2019-05-26,15
2019-06-02,12
2019-06-09,10
2019-06-16,16
2019-06-23,29
2019-06-30,19
2019-07-07,17
2019-07-14,17
2019-07-21,13
2019-07-28,11
2019-08-04,15
2019-08-11,12
2019-08-18,10
2019-08-25,9
2019-09-01,9
2019-09-08,8
2019-09-15,7
2019-09-22,11
2019-09-29,9
2019-10-06,8
2019-10-13,7
2019-10-20,9
2019-10-27,9
2019-11-03,7
2019-11-10,7
2019-11-17,8
2019-11-24,9
2019-12-01,7
2019-12-08,7
2019-12-15,8
2019-12-22,7
2019-12-29,7
2020-01-05,9
2020-01-12,9
2020-01-19,8
2020-01-26,9
2020-02-02,9
2020-02-09,11
2020-02-16,10
2020-02-23,11
2020-03-01,9
2020-03-08,20
2020-03-15,21
2020-03-22,14
2020-03-29,12
2020-04-05,11
2020-04-12,10
2020-04-19,10
2020-04-26,13
2020-05-03,15
2020-05-10,17
2020-05-17,13
2020-05-24,11
2020-05-31,11
2020-06-07,9
2020-06-14,8
2020-06-21,8
2020-06-28,7
2020-07-05,7
2020-07-12,7
2020-07-19,7
2020-07-26,15
2020-08-02,14
2020-08-09,11
2020-08-16,11
2020-08-23,8
2020-08-30,10
2020-09-06,9
2020-09-13,7
2020-09-20,7
2020-09-27,6
2020-10-04,6
2020-10-11,7
2020-10-18,11
2020-10-25,12
2020-11-01,14
2020-11-08,14
2020-11-15,22
2020-11-22,25
2020-11-29,21
2020-12-06,16
2020-12-13,27
2020-12-20,30
2020-12-27,46
2021-01-03,78
2021-01-10,75
2021-01-17,50
2021-01-24,45
2021-01-31,39
2021-02-07,71
2021-02-14,63
2021-02-21,75
2021-02-28,53
2021-03-07,47
2021-03-14,49
2021-03-21,41
2021-03-28,38
2021-04-04,34
2021-04-11,45
2021-04-18,64
2021-04-25,44
2021-05-02,36
2021-05-09,54
2021-05-16,100
2021-05-23,72
2021-05-30,52
2021-06-06,46
2021-06-13,37
2021-06-20,47
2021-06-27,32
2021-07-04,25
2021-07-11,25
2021-07-18,30
2021-07-25,35
2021-08-01,29
2021-08-08,34
2021-08-15,28
2021-08-22,29
2021-08-29,23
2021-09-05,33
2021-09-12,24
2021-09-19,32
2021-09-26,24
2021-10-03,30
2021-10-10,33
2021-10-17,43
2021-10-24,34
2021-10-31,28
2021-11-07,33
2021-11-14,35
2021-11-21,34
2021-11-28,36
2021-12-05,40
2021-12-12,34
2021-12-19,31
2021-12-26,28
2022-01-02,34
2022-01-09,35
2022-01-16,38
2022-01-23,51
2022-01-30,37
2022-02-06,35
2022-02-13,27
2022-02-20,37
2022-02-27,32
2022-03-06,29
2022-03-13,23
2022-03-20,21
2022-03-27,23
2022-04-03,20
2022-04-10,20
2022-04-17,18
2022-04-24,18
2022-05-01,21
2022-05-08,55
2022-05-15,37
2022-05-22,28
2022-05-29,24
2022-06-05,23
2022-06-12,77
2022-06-19,57
2022-06-26,39
2022-07-03,33
2022-07-10,31
2022-07-17,30
2022-07-24,26
2022-07-31,22
2022-08-07,21
2022-08-14,21
2022-08-21,20
2022-08-28,21
2022-09-04,20
2022-09-11,21
2022-09-18,22
2022-09-25,20
2022-10-02,17
2022-10-09,17
2022-10-16,14
2022-10-23,15
2022-10-30,15
2022-11-06,33
2022-11-13,32
2022-11-20,24
2022-11-27,20
2022-12-04,18
2022-12-11,19
2022-12-18,16
2022-12-25,15
2023-01-01,15
2023-01-08,18
2023-01-15,22
2023-01-22,20
2023-01-29,19
2023-02-05,16
2023-02-12,17
2023-02-19,18
2023-02-26,15
2023-03-05,16
2023-03-12,27
2023-03-19,26
2023-03-26,22
2023-04-02,18
2023-04-09,22
2023-04-16,19
2023-04-23,18
2023-04-30,16
2023-05-07,16
2023-05-14,14
2023-05-21,13
2023-05-28,13
2023-06-04,15
2023-06-11,15
2023-06-18,18
2023-06-25,16
2023-07-02,15
2023-07-09,16
2023-07-16,14
2023-07-23,14
2023-07-30,13
2023-08-06,12
2023-08-13,15
2023-08-20,15
2023-08-27,14
2023-09-03,12
2023-09-10,12
2023-09-17,11
2023-09-24,11
2023-10-01,12
2023-10-08,11
2023-10-15,13
2023-10-22,22
2023-10-29,17
2023-11-05,18
2023-11-12,18
2023-11-19,18
2023-11-26,17
2023-12-03,27
2023-12-10,22
2023-12-17,20
2023-12-24,19
2023-12-31,25
2024-01-07,33
2024-01-14,23
